State,Abr.,Date of statehood,Capital,Capital since,Land area (mi²),Most populous city?,Municipal population,Metropolitan population
Alabama,AL,1819,Montgomery,1846,155.4,No,"2,05,764","3,74,536"
Alaska,AK,1959,Juneau,1906,2716.7,No,"31,275",
Arizona,AZ,1912,Phoenix,1889,474.9,Yes,"14,45,632","41,92,887"
Arkansas,AR,1836,Little Rock,1821,116.2,Yes,"1,93,524","8,77,091"
California,CA,1850,Sacramento,1854,97.2,No,"4,66,488","25,27,123"
Colorado,CO,1876,Denver,1867,153.4,Yes,"6,00,158","25,52,195"
Connecticut,CT,1788,Hartford,1875,17.3,No,"1,24,512","12,12,381"
Delaware,DE,1787,Dover,1777,22.4,No,"36,047","1,62,310"
Florida,FL,1845,Tallahassee,1824,95.7,No,"1,81,412","3,67,413"
Georgia,GA,1788,Atlanta,1868,131.7,Yes,"4,20,003","52,68,860"
Hawaii,HI,1959,Honolulu,1845,85.7,Yes,"3,37,256","9,53,207"
Idaho,ID,1890,Boise,1865,63.8,Yes,"2,05,671","6,16,561"
Illinois,IL,1818,Springfield,1837,54,No,"1,16,250","2,08,182"
Indiana,IN,1816,Indianapolis,1825,361.5,Yes,"8,29,718","17,56,221"
Iowa,IA,1846,Des Moines,1857,75.8,Yes,"2,03,433","5,80,255"
Kansas,KS,1861,Topeka,1856,56,No,"1,27,473","2,30,824"
Kentucky,KY,1792,Frankfort,1792,14.7,No,"25,527","70,758"
Louisiana,LA,1812,Baton Rouge,1880,76.8,No,"2,29,553","8,02,484"
Maine,ME,1820,Augusta,1832,55.4,No,"19,136","1,17,114"
Maryland,MD,1788,Annapolis,1694,6.73,No,"38,394",
Massachusetts,MA,1788,Boston,1630,48.4,Yes,"6,17,594","45,22,858"
Michigan,MI,1837,Lansing,1847,35,No,"1,14,297","4,64,036"
Minnesota,MN,1858,Saint Paul,1849,52.8,No,"2,85,068","35,02,891"
Mississippi,MS,1817,Jackson,1821,104.9,Yes,"1,73,514","5,39,057"
Missouri,MO,1821,Jefferson City,1826,27.3,No,"43,079","1,49,807"
Montana,MT,1889,Helena,1875,14,No,"28,190","74,801"
Nebraska,NE,1867,Lincoln,1867,74.6,No,"2,58,379","3,02,157"
Nevada,NV,1864,Carson City,1861,143.4,No,"55,274",
New Hampshire,NH,1788,Concord,1808,64.3,No,"42,695",
New Jersey,NJ,1787,Trenton,1784,7.66,No,"84,913","3,66,513"
New Mexico,NM,1912,Santa Fe,1610,37.3,No,"75,764","1,83,732"
New York,NY,1788,Albany,1797,21.4,No,"97,856","8,57,592"
North Carolina,NC,1789,Raleigh,1792,114.6,No,"4,03,892","11,30,490"
North Dakota,ND,1889,Bismarck,1883,26.9,No,"61,272","1,08,779"
Ohio,OH,1803,Columbus,1816,210.3,Yes,"7,87,033","18,36,536"
Oklahoma,OK,1907,Oklahoma City,1910,607,Yes,"5,80,000","12,52,987"
Oregon,OR,1859,Salem,1855,45.7,No,"1,54,637","3,90,738"
Pennsylvania,PA,1787,Harrisburg,1812,8.11,No,"49,528","6,47,390"
Rhode Island,RI,1790,Providence,1900,18.5,Yes,"1,78,042","16,30,956"
South Carolina,SC,1788,Columbia,1786,125.2,Yes,"1,31,686","9,13,797"
South Dakota,SD,1889,Pierre,1889,13,No,"13,646",
Tennessee,TN,1796,Nashville,1826,473.3,No,"6,35,710","15,82,264"
Texas,TX,1845,Austin,1839,251.5,No,"8,42,592","17,16,291"
Utah,UT,1896,Salt Lake City,1858,109.1,Yes,"1,86,440","11,24,197"
Vermont,VT,1791,Montpelier,1805,10.2,No,"7,855",
Virginia,VA,1788,Richmond,1780,60.1,No,"2,04,214","12,31,675"
Washington,WA,1889,Olympia,1853,16.7,No,"46,478","2,34,670"
West Virginia,WV,1863,Charleston,1885,31.6,Yes,"51,400","3,04,214"
Wisconsin,WI,1848,Madison,1838,68.7,No,"2,33,209","5,61,505"
Wyoming,WY,1890,Cheyenne,1869,21.1,Yes,"59,466","91,738"
